Genotype	Lab	Type	Rep	Time	Tissue	Bam	Bigwig	BigwigZnorm	Peakfile
OR	Buttita	WT	Rep1	24APF	Wing	FAIRE_Data/Data/Bam/DJM83_13-24hAPFrep1FAIRE_TAGCTT_L002_R1_001_q5_sorted_dupsRemoved_noYUHet.bam	FAIRE_Data/Data/BigWigs/DJM83_13-24hAPFrep1FAIRE_TAGCTT_L002_R1_001_q5_sorted_dupsRemoved_noYUHet_normalizedToRPGC.bw	FAIRE_Data/Data/BigWigs/ZNormalized/DJM83_13-24hAPFrep1FAIRE_TAGCTT_L002_R1_001_q5_sorted_dupsRemoved_noYUHet_normalizedToRPGC_zNorm.bw	FAIRE_Data/Data/Peakfiles/DJM83_13-24hAPFrep1FAIRE_TAGCTT_L002_R1_001_FAIRE_Peaks_peaks.narrowPeak
OR	Buttita	WT	Rep2	24APF	Wing	FAIRE_Data/Data/Bam/DJM83_14-24hAPFrep2FAIRE_ATCACG_L002_R1_001_q5_sorted_dupsRemoved_noYUHet.bam	FAIRE_Data/Data/BigWigs/DJM83_14-24hAPFrep2FAIRE_ATCACG_L002_R1_001_q5_sorted_dupsRemoved_noYUHet_normalizedToRPGC.bw	FAIRE_Data/Data/BigWigs/ZNormalized/DJM83_14-24hAPFrep2FAIRE_ATCACG_L002_R1_001_q5_sorted_dupsRemoved_noYUHet_normalizedToRPGC_zNorm.bw	FAIRE_Data/Data/Peakfiles/DJM83_14-24hAPFrep2FAIRE_ATCACG_L002_R1_001_FAIRE_Peaks_peaks.narrowPeak
OR	Buttita	WT	Rep3	24APF	Wing	FAIRE_Data/Data/Bam/DJM83_15-24hAPFrep3FAIRE_CGATGT_L002_R1_001_q5_sorted_dupsRemoved_noYUHet.bam	FAIRE_Data/Data/BigWigs/DJM83_15-24hAPFrep3FAIRE_CGATGT_L002_R1_001_q5_sorted_dupsRemoved_noYUHet_normalizedToRPGC.bw	FAIRE_Data/Data/BigWigs/ZNormalized/DJM83_15-24hAPFrep3FAIRE_CGATGT_L002_R1_001_q5_sorted_dupsRemoved_noYUHet_normalizedToRPGC_zNorm.bw	FAIRE_Data/Data/Peakfiles/DJM83_15-24hAPFrep3FAIRE_CGATGT_L002_R1_001_FAIRE_Peaks_peaks.narrowPeak
OR	Buttita	WT	Rep1	44APF	Wing	FAIRE_Data/Data/Bam/DJM83_19-44hAPFrep1FAIRE_CTTGTA_L002_R1_001_q5_sorted_dupsRemoved_noYUHet.bam	FAIRE_Data/Data/BigWigs/DJM83_19-44hAPFrep1FAIRE_CTTGTA_L002_R1_001_q5_sorted_dupsRemoved_noYUHet_normalizedToRPGC.bw	FAIRE_Data/Data/BigWigs/ZNormalized/DJM83_19-44hAPFrep1FAIRE_CTTGTA_L002_R1_001_q5_sorted_dupsRemoved_noYUHet_normalizedToRPGC_zNorm.bw	FAIRE_Data/Data/Peakfiles/DJM83_19-44hAPFrep1FAIRE_CTTGTA_L002_R1_001_FAIRE_Peaks_peaks.narrowPeak
OR	Buttita	WT	Rep2	44APF	Wing	FAIRE_Data/Data/Bam/DJM83_20-44hAPFrep2FAIRE_ACAGTG_L002_R1_001_q5_sorted_dupsRemoved_noYUHet.bam	FAIRE_Data/Data/BigWigs/DJM83_20-44hAPFrep2FAIRE_ACAGTG_L002_R1_001_q5_sorted_dupsRemoved_noYUHet_normalizedToRPGC.bw	FAIRE_Data/Data/BigWigs/ZNormalized/DJM83_20-44hAPFrep2FAIRE_ACAGTG_L002_R1_001_q5_sorted_dupsRemoved_noYUHet_normalizedToRPGC_zNorm.bw	FAIRE_Data/Data/Peakfiles/DJM83_20-44hAPFrep2FAIRE_ACAGTG_L002_R1_001_FAIRE_Peaks_peaks.narrowPeak
OR	Buttita	WT	Rep3	44APF	Wing	FAIRE_Data/Data/Bam/DJM83_21-44hAPFrep3FAIRE_GCCAAT_L002_R1_001_q5_sorted_dupsRemoved_noYUHet.bam	FAIRE_Data/Data/BigWigs/DJM83_21-44hAPFrep3FAIRE_GCCAAT_L002_R1_001_q5_sorted_dupsRemoved_noYUHet_normalizedToRPGC.bw	FAIRE_Data/Data/BigWigs/ZNormalized/DJM83_21-44hAPFrep3FAIRE_GCCAAT_L002_R1_001_q5_sorted_dupsRemoved_noYUHet_normalizedToRPGC_zNorm.bw	FAIRE_Data/Data/Peakfiles/DJM83_21-44hAPFrep3FAIRE_GCCAAT_L002_R1_001_FAIRE_Peaks_peaks.narrowPeak
OR	Buttita	WT	Rep1	3LW	Wing	FAIRE_Data/Data/Bam/DJM87_1-wt-3LW-Rep1_GCGAT_L001_R1_001_q5_sorted_dupsRemoved_noYUHet.bam	FAIRE_Data/Data/BigWigs/DJM87_1-wt-3LW-Rep1_GCGAT_L001_R1_001_q5_sorted_dupsRemoved_noYUHet_normalizedToRPGC.bw	FAIRE_Data/Data/BigWigs/ZNormalized/DJM87_1-wt-3LW-Rep1_GCGAT_L001_R1_001_q5_sorted_dupsRemoved_noYUHet_normalizedToRPGC_zNorm.bw	FAIRE_Data/Data/Peakfiles/DJM87_1-wt-3LW-Rep1_GCGAT_L001_R1_001_FAIRE_Peaks_peaks.narrowPeak
OR	Buttita	WT	Rep2	3LW	Wing	FAIRE_Data/Data/Bam/DJM87_4-wt-3LW-Rep2_ACAGG_L001_R1_001_q5_sorted_dupsRemoved_noYUHet.bam	FAIRE_Data/Data/BigWigs/DJM87_4-wt-3LW-Rep2_ACAGG_L001_R1_001_q5_sorted_dupsRemoved_noYUHet_normalizedToRPGC.bw	FAIRE_Data/Data/BigWigs/ZNormalized/DJM87_4-wt-3LW-Rep2_ACAGG_L001_R1_001_q5_sorted_dupsRemoved_noYUHet_normalizedToRPGC_zNorm.bw	FAIRE_Data/Data/Peakfiles/DJM87_4-wt-3LW-Rep2_ACAGG_L001_R1_001_FAIRE_Peaks_peaks.narrowPeak
E93mut	McKay	mut	Rep1	24APF	Wing	FAIRE_Data/Data/Bam/E93-24hAPF-Rep1-FAIRE_TCCAT_L001_R1_001_q5_sorted_dupsRemoved_noYUHet.bam	FAIRE_Data/Data/BigWigs/E93-24hAPF-Rep1-FAIRE_TCCAT_L001_R1_001_q5_sorted_dupsRemoved_noYUHet_normalizedToRPGC.bw	FAIRE_Data/Data/BigWigs/ZNormalized/E93-24hAPF-Rep1-FAIRE_TCCAT_L001_R1_001_q5_sorted_dupsRemoved_noYUHet_normalizedToRPGC_zNorm.bw	FAIRE_Data/Data/Peakfiles/E93-24hAPF-Rep1-FAIRE_TCCAT_L001_R1_001_FAIRE_Peaks_peaks.narrowPeak
E93mut	McKay	mut	Rep2	24APF	Wing	FAIRE_Data/Data/Bam/E93-24hAPF-Rep2-FAIRE_TGGTA_L001_R1_001_q5_sorted_dupsRemoved_noYUHet.bam	FAIRE_Data/Data/BigWigs/E93-24hAPF-Rep2-FAIRE_TGGTA_L001_R1_001_q5_sorted_dupsRemoved_noYUHet_normalizedToRPGC.bw	FAIRE_Data/Data/BigWigs/ZNormalized/E93-24hAPF-Rep2-FAIRE_TGGTA_L001_R1_001_q5_sorted_dupsRemoved_noYUHet_normalizedToRPGC_zNorm.bw	FAIRE_Data/Data/Peakfiles/E93-24hAPF-Rep2-FAIRE_TGGTA_L001_R1_001_FAIRE_Peaks_peaks.narrowPeak
